Record Length,2.50E+03,,t,V
Sample Interval,1.00E-06,,-0.00125,0.004
Trigger Point,1.25E+03,,-0.001249,0.008
,,,-0.001248,0.01
,,,-0.001247,0.01
,,,-0.001246,0.01
Source,CH1,,-0.001245,0.008
Vertical Units,V,,-0.001244,0.014
Vertical Scale,5.00E-02,,-0.001243,0.01
Vertical Offset,0.00E+00,,-0.001242,0.012
Horizontal Units,s,,-0.001241,0.014
Horizontal Scale,2.50E-04,,-0.00124,0.014
Pt Fmt,Y,,-0.001239,0.014
Yzero,0.00E+00,,-0.001238,0.014
Probe Atten,1.00E+00,,-0.001237,0.016
Model Number,TDS2014B,,-0.001236,0.018
Serial Number,C041770,,-0.001235,0.014
Firmware Version,FV:v22.01,,-0.001234,0.016
,,,-0.001233,0.016
,,,-0.001232,0.02
,,,-0.001231,0.02
,,,-0.00123,0.018
,,,-0.001229,0.018
,,,-0.001228,0.02
,,,-0.001227,0.018
,,,-0.001226,0.02
,,,-0.001225,0.018
,,,-0.001224,0.022
,,,-0.001223,0.018
,,,-0.001222,0.022
,,,-0.001221,0.02
,,,-0.00122,0.022
,,,-0.001219,0.02
,,,-0.001218,0.018
,,,-0.001217,0.02
,,,-0.001216,0.02
,,,-0.001215,0.02
,,,-0.001214,0.02
,,,-0.001213,0.02
,,,-0.001212,0.02
,,,-0.001211,0.022
,,,-0.00121,0.018
,,,-0.001209,0.018
,,,-0.001208,0.018
,,,-0.001207,0.018
,,,-0.001206,0.014
,,,-0.001205,0.014
,,,-0.001204,0.014
,,,-0.001203,0.01
,,,-0.001202,0.01
,,,-0.001201,0.01
,,,-0.0012,0.008
,,,-0.001199,0.006
,,,-0.001198,0.006
,,,-0.001197,0.004
,,,-0.001196,0.002
,,,-0.001195,0
,,,-0.001194,-0.002
,,,-0.001193,-0.002
,,,-0.001192,-0.008
,,,-0.001191,-0.006
,,,-0.00119,-0.006
,,,-0.001189,-0.008
,,,-0.001188,-0.008
,,,-0.001187,-0.006
,,,-0.001186,-0.008
,,,-0.001185,-0.006
,,,-0.001184,-0.008
,,,-0.001183,-0.01
,,,-0.001182,-0.008
,,,-0.001181,-0.006
,,,-0.00118,-0.008
,,,-0.001179,-0.01
,,,-0.001178,-0.01
,,,-0.001177,-0.01
,,,-0.001176,-0.008
,,,-0.001175,-0.006
,,,-0.001174,-0.006
,,,-0.001173,-0.008
